mtxname,k,bands,r,genPairs_time,HC_time,Format_Conversion_time,LeSpGEMM_VLength_time,mixed_acc,error
bratu3d,32,8,4,38.605,10.869,73.532,1.35555,dense clusters: 284 / 26610 (1.06727%),
nasa2910_id_364,224,56,4,81.644,22.45,14.278,1.2346,dense clusters: 325 / 359 (90.5292%),
nasa2910_id_759,64,16,4,37.174,14.696,14.961,1.12741,dense clusters: 337 / 373 (90.3485%),
c-45,192,64,3,1228.05,689.005,31.345,24.9123,dense clusters: 665 / 6267 (10.6111%),
epb2,192,64,3,221.853,82.622,31.389,0.804615,dense clusters: 23 / 2890 (0.795848%),
t2dah_e,160,32,5,64.288,31.631,24.389,0.930285,dense clusters: 770 / 1352 (56.9527%),
t2dah_a,192,64,3,138.481,48.329,20.967,0.814414,dense clusters: 748 / 1231 (60.7636%),
t2dah,96,32,3,90.203,42.217,22.283,0.819707,dense clusters: 767 / 1265 (60.6324%),
wang3,192,32,6,113.804,9.604,66.992,1.1986,dense clusters: 0 / 25894 (0%),
wang4,160,32,5,108.681,9.824,72.857,1.37947,dense clusters: 0 / 25202 (0%),
dictionary28,192,64,3,2044.57,144.309,47.933,3.51779,dense clusters: 6596 / 17222 (38.2998%),
t60k,192,64,3,409.768,68.296,64.471,1.16463,dense clusters: 585 / 17623 (3.31953%),
brainpc2,96,32,3,467.542,374.371,34.314,161.076,dense clusters: 1702 / 9085 (18.7342%),
c-50,192,64,3,398.945,138.653,32.032,12.4131,dense clusters: 13 / 8037 (0.161752%),
Goodwin_023,224,56,4,103.317,36.707,17.074,0.754738,dense clusters: 1021 / 1066 (95.7786%),
g7jac060,96,32,3,156.466,49.3,29.733,1.7833,dense clusters: 309 / 5628 (5.49041%),
g7jac060sc,224,56,4,181.582,37.255,32.995,1.71018,dense clusters: 427 / 7848 (5.44088%),
ca-CondMat,96,16,6,63.294,14.781,65.514,6.82299,dense clusters: 613 / 16707 (3.66912%),
wiki-RfA,192,64,3,268.18,67.145,55.733,12.9361,dense clusters: 295 / 2337 (12.623%),
jan99jac100,128,32,4,196.445,94.271,56.147,2.20871,dense clusters: 2984 / 15232 (19.5903%),
jan99jac100sc,128,32,4,195.528,94.818,56.205,2.21326,dense clusters: 2984 / 15232 (19.5903%),
